Usuario;TagNick;DataPost;Texto;Comentarios;Likes;Retweets
Wagner;vaguimjunior;2022-08-31 23:59:47+00:00;@segueogabriel Kkkkkkk a melhor imitação do Tite que já vi kkkk;0;0;0
amante do dorival jr;daviof_;2022-08-31 23:58:24+00:00;"Dorival chegou fervendo 
Pedro tá comendo a bola
Só o tite não tá vendo 
Hoje tem gol do gabi 
Vidal tá em casa 
E o arrasca em campo 
olha só que talento
Malvadão é o Flamengo 
Esse esse é o meu Flamengo 
Malvadão é o Flamengo 
Esse esse é o meu Flamengo 

Poesia.";0;0;0
777 MOD;LucaVasco4;2022-08-31 23:57:55+00:00;Se o Andrey não ir pra Copa tem que demitir o Tite;0;0;0
Marcelo A. Soares;marceloas1803;2022-08-31 23:56:55+00:00;"O tite é malucooooooo de nao levar o andrey pra copa
Maluco";0;0;0
Naomiii;Naomiii60986523;2022-08-31 23:56:49+00:00;Tite;0;0;0
N.D¹⁶³🇮🇹;ffcduarte;2022-08-31 23:56:12+00:00;E o tite nem cogita convocar https://t.co/2ua9bLrO6Z;0;0;0
Liverpool Stats;LiverpoolStats2;2022-08-31 23:55:58+00:00;"Roberto Firmino tecnicamente é o melhor ""9"" brasileiro, acima de todos os outros. Se manter a boa forma e não se lesionar, Tite tem obrigação de levar o Bobby pra copa do mundo, o homem tá querendo🇧🇷 https://t.co/Fv7NlSG1AK";0;11;0
saLomão.fxp🇭🇺;salomao_FLU;2022-08-31 23:52:26+00:00;@ffc_jota Fd o tite só convoca os jogadores do palmeiras;0;0;0
my;_nomyy;2022-08-31 23:51:31+00:00;@aluapbraga O Tite também;0;0;0
Lucas Alves 🏆🏆🏆;Lukita_Alves;2022-08-31 23:49:24+00:00;@segueogabriel Impossível não ser o próprio Tite falando, impossível;0;0;0
ronald mcdonalds;ronald_kkj;2022-08-31 23:49:20+00:00;@henriquedeontem @Feijoada_1 @recuperandofe Se o Tite não convocar, a gente perde o hexa, esse cara é obrigatório no Qatar!!!!;0;2;0
RF🇪🇬;FragosoRhuan;2022-08-31 23:47:34+00:00;Se o Tete continuar jogando assim o Tite é obrigado a levar ele pra copa;0;0;0
Manoel;manoelsat01;2022-08-31 23:46:55+00:00;Alô @CBF_Futebol fala para o Tite da uma oportunidade para o @04Andrey acho que ele vai arrumar um parceiro para o Casemiro,  com certeza.;0;0;0
ge Corinthians Bot;getimaobot;2022-08-31 23:46:45+00:00;GOOOOOOOOL! Tite faz o terceiro do Timão!;0;0;0
loms;ytacharhe;2022-08-31 23:46:44+00:00;haha tite https://t.co/1MbJeOl3Fl;0;0;0
Este é Lusca ;Lukinhaass_10;2022-08-31 23:46:35+00:00;@Corinthians saiu a lista do tite 🤣🤣🤣🤣🤣🤣🤣 https://t.co/Xep4kPbiEo;0;0;0
levy;eumauriciolevy;2022-08-31 23:45:44+00:00;"É óbvio que é utópico e provavelmente Tite não pega nenhum clube em 2023, ainda mais com a Copa terminando em dezembro (e a amarelinha levantando o caneco). 
Mas Grêmio não pode, de maneira alguma, pensar pequeno. Acabaram de me falar em Odair. Pelo amor. O Grêmio é o GRÊMIO, p%#";0;29;0
💎;Ga22baby;2022-08-31 23:44:55+00:00;@CaioCh03 se o tite deixar de levar o pedro pra levar ele eu me mato;0;0;0
🐐 descanse em paz jackie chan;mdvc_;2022-08-31 23:43:22+00:00;"ALÔ TITE!! 🤙🏼

andrey santos na copa";0;0;0
nandinho ᶜʳᶠ;fszcrf;2022-08-31 23:42:39+00:00;fodasse leva o andrey pra copa tite;0;0;0
Uzias;AmuraUzias;2022-08-31 23:42:23+00:00;@IamCristinini Que tite;0;0;0
マキシム - MatosminØ #GoPaiN;matosmin00;2022-08-31 23:41:37+00:00;@ESPNBrasil @ENO_Brasil Assim o Tite fica doido;0;3;0
Winnie Salazar 🌈;wpsr18;2022-08-31 23:39:56+00:00;Tite;0;0;0
Rodrigo;Rodrigohcar;2022-08-31 23:38:33+00:00;@adenor_tite leva pra copa e força o escanteio https://t.co/S73kZchWI4;0;0;0
LION'S DEN;THEPJUAN15;2022-08-31 23:34:38+00:00;"""Quem escala é o Tite, eu tento fazer o melhor pelo Corinthians. Se eu for convocado, pode ter certeza de que vou estar preparado.” 

🎙| Cássio
📸| @w_oliveiram / @14_decimo https://t.co/Pvejua8pKh";0;2;0
Kauã;KauaAlvarenga_;2022-08-31 23:33:56+00:00;É muita idiotice discutir entre Pedro e Gabriel Jesus pra copa. Se um for e o outro não, tá ótimo. As duas escolhas são ótimas, uma não tira o mérito da outra. O que o Tite escolher ( e como conhece bem esses dois ), tá ótimo.;0;4;0
EH O PABLO 🌪🌪🌪;theuz_txparo;2022-08-31 23:33:43+00:00;@itsdavizzz @g_cordeiroo Coragem, Tite! O Dante conhece os alemães;0;1;0
levy;eumauriciolevy;2022-08-31 23:33:40+00:00;"Quem gerencia o GRÊMIO, que é TRICAMPEÃO da América, tem que saber o TAMANHO que o clube tem.
Dito isso, gostaria que o técnico do Grêmio em 2023 fosse o Tite. 
Contratação milionária. Paga o que vale e apresenta 3 anos de projeto.
Reformular o clube, transitando por tudo. Vale.";2;80;6
Arnaldo Bastos;arnaldobev;2022-08-31 23:32:52+00:00;@segueogabriel @silvioluiz Muito bom, Tite, quer dizer, Gabriel. Apesar de eu não ser corintiano.;0;0;0
SPFC TRI MUNDIAL 🇾🇪;tridomundo_spfc;2022-08-31 23:30:42+00:00;@segueogabriel O Tite tá te dublando 😂;0;0;0
Kituˢᶠᶜ⚡️;Liusaesoztunali;2022-08-31 23:27:23+00:00;@palmerense__ @b1elnjr @NixxxCrfkjkj @FutebolBoomers A copa américa 2021 foi a pior fase da seleção Era Tite, já vinha de jogos sofríveis há algum tempo. A seleção só voltou a jogar bola com a convocação do Antony e do Raphinha.;0;1;0
Gui Lisboa Romântico🌹⚡;LisboaGuigo_18;2022-08-31 23:27:17+00:00;"@Mateus_sants23 @Jhowzinxt @PLzin1x @futebol_info @ESPNBrasil Mas quem vai jogar lá vai ser o Paquetá.

Neymar vai jogar de SA/ F9 flutuando do meio para ponta, tite está adaptando o time para jogar nessa Escalação para Vini, Paquetá e Neymar jogar juntos.";0;0;0
Quicando a Bola;QuicandoaBola;2022-08-31 23:26:58+00:00;"FIRMINO MERECE SELEÇÃO? 

     Roberto Firmino que em tempos atrás era figura carimbada nas convocações de Tite, após uma queda de rendimento no clube e na seleção, foi consideravelmente esquecido.
     Mas foi recentemente com a suspensão de Darwin Nuñez que ele agarrou a https://t.co/PipSqWLUNz";0;1;0
Denis Garcia ◽️;ddgarciaz;2022-08-31 23:26:20+00:00;@TiagoSalazar Seria bom se um título invicto valesse por 3. Aí o Corinthians de Tite em 2012 teria 3 libertadores igual o Palmeiras, o São Paulo, Santos e Grêmio, e seria ainda maior a conquista. Mas não vale. Então só tem uma mesmo.;0;0;1
bluesman;eutesegurokayke;2022-08-31 23:24:42+00:00;@segueogabriel Não sabia que o Jemerson sabia imitar o Tite.;0;0;0
Pedro Queiroz 🐻🏈;phQueiroz1710;2022-08-31 23:24:36+00:00;@lfernando86 Mas o coutinho é um dos melhores, sempre entrega na seleção! E o Tite esta levando os melhores, inclusive ira convocad o Pedro! Tirando o Daniel Alves nao vejo nenhum jogador questionado ao ponto de nossa que injustiça. Felipao em 2002 tbem teve suas preferências;0;0;0
Between 1&2 OUT NOW!;JustKratz;2022-08-31 23:24:22+00:00;"MAIS UMA PRA VOCÊS HEIN? SELEÇÃO DE FUTEBOL COM NOMES QUE PODEM SER FALADOS POR BEBÊS

GOLEIRO DIDA (NAO TINHA NENHUM ATUAL)
LATERAL GUGA E DODÔ
ZAGUEIROS LEO E NINO
MEIO NENE, TITI E ALLAN
ATAQUE JAJÁ, DUDU E GABI

tecnico tite.";0;6;1
Caronilds;CarolesGemin;2022-08-31 23:23:21+00:00;@IgaoPaixao Pior que não importa como ele esteja, o Tite chama ele pra Copa!;0;1;0
JB;JB_LX1;2022-08-31 23:22:05+00:00;@gado12121 @SofaScoreBR @gabrieljesus9 só falar pro tite por ele centralizado, n marcando lateral;0;0;0
Gui Lisboa Romântico🌹⚡;LisboaGuigo_18;2022-08-31 23:22:04+00:00;"@Jhowzinxt @PLzin1x @futebol_info @ESPNBrasil Neymar não vai jogar de meia, estou achando que ele vai jogar de SA / F9.

Tite já testou ele assim para o Vinicius Junior ser o titular na PE.";0;3;0
Andrea;AndreaRdzL98;2022-08-31 23:21:42+00:00;Tite;0;0;0
Soaresnen81...;soaresnen81;2022-08-31 23:21:12+00:00;@Recibo_CRF Esse ai é um dos q fala muito já diziam Tite fala muito fala muito kkkk;0;0;0
raian antony 🇵🇱;Raianns17;2022-08-31 23:20:18+00:00;@xavisimons @PSV alô tite,chama o homi;0;65;1
Garotos da Cuba;GarotosCuba;2022-08-31 23:19:11+00:00;"Brasileiros hoy😜😜💚💛🇧🇷:

⚽️ G. Jesus
⚽️ G. Martinelli
⚽️ Douglas Luiz (olímpico)
⚽️ Firmino
⚽️ Neymar
⚽️ Tetê
🅰️ Sávio

Que es esto Tite?🤯🤯 https://t.co/1gKPOQLuAU";0;16;0
